,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2010,1,22,20,,,-20.0,,-110.0,-9999.0,,,150.0,,,,67.0,-9999.0,-9999.0,-9999.0,
2010,1,22,21,,,-20.0,,-100.0,-9999.0,,,140.0,,,,72.0,-9999.0,-9999.0,-9999.0,
2010,1,23,5,,,-30.0,,-120.0,-9999.0,,,130.0,,,,51.0,-9999.0,-9999.0,-9999.0,
2010,1,23,6,,,-30.0,,-120.0,-9999.0,,,130.0,,,,46.0,-9999.0,-9999.0,-9999.0,
2010,1,23,7,,,-30.0,,-110.0,-9999.0,,,110.0,,,,31.0,-9999.0,-9999.0,-9999.0,
2010,1,23,8,,,-30.0,,-120.0,-9999.0,,,,90.0,,,,26.0,-9999.0,-9999.0,-9999.0
2010,1,23,9,,,-20.0,,-110.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2010,1,23,10,,,-20.0,,-120.0,-9999.0,,,340.0,,,,15.0,-9999.0,-9999.0,-9999.0,
2010,1,23,11,,,-20.0,,-120.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2010,1,23,12,,,-20.0,,-110.0,-9999.0,-9999.0,,,,10.0,-9999.0,-9999.0,-9999.0,,,
2010,1,23,13,,,-20.0,,-110.0,-9999.0,-9999.0,,,,,5.0,-9999.0,-9999.0,-9999.0,,
2010,1,23,14,,,-20.0,,-100.0,-9999.0,-9999.0,,,,,5.0,-9999.0,-9999.0,-9999.0,,
2010,1,28,19,,,-40.0,,,-90.0,-9999.0,,,110.0,,,,82.0,-9999.0,-9999.0,-9999.0
2010,1,28,20,,,-50.0,,-100.0,-9999.0,,,110.0,,,,82.0,-9999.0,-9999.0,-9999.0,
2010,1,28,21,,,-50.0,,-110.0,-9999.0,,,100.0,,,,82.0,-9999.0,-9999.0,-9999.0,
2010,1,29,5,,,-80.0,,-120.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
2010,1,29,17,,,-60.0,,-100.0,-9999.0,,,130.0,,,,93.0,-9999.0,-9999.0,-9999.0,
2010,1,30,5,,,-90.0,,-150.0,-9999.0,,,,80.0,,,129.0,-9999.0,-9999.0,-9999.0,
2010,1,30,6,,,-80.0,,-150.0,-9999.0,,,100.0,,,118.0,-9999.0,-9999.0,-9999.0,,
2010,1,30,7,,,-90.0,,-140.0,-9999.0,,,100.0,,,113.0,-9999.0,-9999.0,-9999.0,,
2010,1,30,8,,,-90.0,,-150.0,-9999.0,,,100.0,,,118.0,-9999.0,-9999.0,-9999.0,,
2010,1,30,9,,,-90.0,,-150.0,-9999.0,,,,90.0,,,113.0,-9999.0,-9999.0,-9999.0,
2010,1,30,10,,-100.0,,-160.0,-9999.0,,,,90.0,,,129.0,-9999.0,-9999.0,-9999.0,,
2010,1,30,11,,,-90.0,,-160.0,-9999.0,,,,90.0,,,108.0,-9999.0,-9999.0,-9999.0,
2010,1,30,12,,,-90.0,,-150.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
2010,1,30,13,,,-90.0,,-150.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,,,,
2010,1,30,14,,,-90.0,,-150.0,-9999.0,,,,80.0,,,118.0,-9999.0,-9999.0,-9999.0,
2010,1,30,22,,,-90.0,,-160.0,-9999.0,,,,90.0,,,103.0,-9999.0,-9999.0,-9999.0,
2010,1,31,0,,-100.0,,-150.0,-9999.0,,,100.0,,,,77.0,-9999.0,-9999.0,-9999.0,,
2010,1,31,1,,,-90.0,,-160.0,-9999.0,,,110.0,,,,82.0,-9999.0,-9999.0,-9999.0,
2010,1,31,2,,-100.0,,-160.0,-9999.0,,,100.0,,,108.0,-9999.0,-9999.0,-9999.0,,,
2010,1,31,3,,-100.0,,-160.0,-9999.0,,,,80.0,,,,57.0,-9999.0,-9999.0,-9999.0,
2010,1,31,4,,-100.0,,-160.0,-9999.0,,,,80.0,,,,51.0,-9999.0,-9999.0,-9999.0,
2010,1,31,11,,-100.0,,-170.0,-9999.0,,,,80.0,,,,57.0,-9999.0,-9999.0,-9999.0,
2010,1,31,12,,,-90.0,,-170.0,-9999.0,,,,90.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,31,13,,,-90.0,,-170.0,-9999.0,,,,80.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,31,14,,,-90.0,,-160.0,-9999.0,,,,90.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,31,15,,,-90.0,,-160.0,-9999.0,,,,90.0,,,,72.0,-9999.0,-9999.0,-9999.0
2010,1,31,18,,,-90.0,,-160.0,-9999.0,,,,80.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,31,19,,,-90.0,,-160.0,-9999.0,,,,80.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,1,31,20,,,-90.0,,-160.0,-9999.0,,,,80.0,,,,41.0,-9999.0,-9999.0,-9999.0
2010,1,31,21,,,-90.0,,-160.0,-9999.0,,,,70.0,,,,62.0,-9999.0,-9999.0,-9999.0
2010,2,1,4,,-110.0,,-180.0,-9999.0,,,,90.0,,,,57.0,-9999.0,-9999.0,-9999.0,
2010,2,1,5,,-110.0,,-180.0,-9999.0,,,120.0,,,,36.0,-9999.0,-9999.0,-9999.0,,
2010,2,1,6,,-110.0,,-180.0,-9999.0,,,120.0,,,,57.0,-9999.0,-9999.0,-9999.0,,
2010,2,1,7,,-110.0,,-170.0,-9999.0,,,100.0,,,,72.0,-9999.0,-9999.0,-9999.0,,
2010,2,1,8,,-100.0,,-160.0,-9999.0,,,,90.0,,,,77.0,-9999.0,-9999.0,-9999.0,
2010,2,1,15,,,-80.0,,-150.0,-9999.0,,,,60.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,2,1,16,,,-80.0,,-150.0,-9999.0,,,110.0,,,,67.0,-9999.0,-9999.0,-9999.0,
2010,2,1,17,,,-80.0,,-140.0,-9999.0,,,110.0,,,,67.0,-9999.0,-9999.0,-9999.0,
2010,2,1,18,,,-70.0,,-130.0,-9999.0,,,110.0,,,,77.0,-9999.0,-9999.0,-9999.0,
2010,2,1,19,,,-60.0,,-130.0,-9999.0,,,110.0,,,,67.0,-9999.0,-9999.0,-9999.0,
2010,2,1,20,,,-50.0,,-110.0,-9999.0,,,,70.0,,,,57.0,-9999.0,-9999.0,-9999.0
2010,2,1,21,,,-50.0,,-110.0,-9999.0,,,,80.0,,,,77.0,-9999.0,-9999.0,-9999.0
