,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
162,2015,1,7,23,,-342,-9999,-9999.0,,,,70.0,,,,36,-9999.0,-9999.0,-9999.0
163,2015,1,8,0,,-342,-9999,-9999.0,,,,60.0,,,,62,-9999.0,-9999.0,-9999.0
164,2015,1,8,1,,-342,-9999,-9999.0,,,,60.0,,,,51,-9999.0,-9999.0,-9999.0
165,2015,1,8,2,,-342,-9999,-9999.0,,,,60.0,,,,51,-9999.0,-9999.0,-9999.0
166,2015,1,8,3,,-341,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
167,2015,1,8,4,,-341,-9999,-9999.0,,,,50.0,,,,82,-9999.0,-9999.0,-9999.0
168,2015,1,8,5,,-341,-9999,-9999.0,,,,50.0,,,,93,-9999.0,-9999.0,-9999.0
169,2015,1,8,6,,-341,-9999,-9999.0,,,,50.0,,,,93,-9999.0,-9999.0,-9999.0
170,2015,1,8,7,,-341,-9999,-9999.0,,,,50.0,,,,82,-9999.0,-9999.0,-9999.0
171,2015,1,8,8,,-341,-9999,-9999.0,,,,50.0,,,103.0,-9999,-9999.0,-9999.0,
172,2015,1,8,9,,-341,-9999,-9999.0,,,,40.0,,,,93,-9999.0,-9999.0,-9999.0
173,2015,1,8,10,,-341,-9999,-9999.0,,,,30.0,,,,88,-9999.0,-9999.0,-9999.0
174,2015,1,8,11,,-341,-9999,-9999.0,,,,30.0,,,,88,-9999.0,-9999.0,-9999.0
175,2015,1,8,12,,-341,-9999,-9999.0,,,,10.0,,,,57,-9999.0,-9999.0,-9999.0
176,2015,1,8,13,,-341,-9999,-9999.0,-9999.0,,,,36.0,-9999.0,-9999.0,-9999,,,
177,2015,1,8,14,,-341,-9999,-9999.0,,,,10.0,,,,26,-9999.0,-9999.0,-9999.0
178,2015,1,8,15,,-341,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
179,2015,1,8,16,,-341,-9999,-9999.0,,,,20.0,,,,41,-9999.0,-9999.0,-9999.0
180,2015,1,8,17,,-341,-9999,-9999.0,,,,20.0,,,,36,-9999.0,-9999.0,-9999.0
181,2015,1,8,18,,-341,-9999,-9999.0,,,,30.0,,,,57,-9999.0,-9999.0,-9999.0
182,2015,1,8,19,,-341,-9999,-9999.0,,,,30.0,,,,57,-9999.0,-9999.0,-9999.0
183,2015,1,8,20,,-341,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
184,2015,1,8,21,,-341,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
185,2015,1,8,22,,-341,-9999,-9999.0,,,,40.0,,,,67,-9999.0,-9999.0,-9999.0
186,2015,1,8,23,,-341,-9999,-9999.0,,,,40.0,,,,67,-9999.0,-9999.0,-9999.0
187,2015,1,9,0,,-341,-9999,-9999.0,,,,40.0,,,,67,-9999.0,-9999.0,-9999.0
188,2015,1,9,1,,-341,-9999,-9999.0,,,,30.0,,,,82,-9999.0,-9999.0,-9999.0
189,2015,1,9,2,,-341,-9999,-9999.0,,,,20.0,,,,82,-9999.0,-9999.0,-9999.0
190,2015,1,9,3,,-341,-9999,-9999.0,,,,20.0,,,,82,-9999.0,-9999.0,-9999.0
191,2015,1,9,4,,-341,-9999,-9999.0,,,,20.0,,,,88,-9999.0,-9999.0,-9999.0
192,2015,1,9,5,,-341,-9999,-9999.0,,,,40.0,,,,77,-9999.0,-9999.0,-9999.0
193,2015,1,9,6,,-341,-9999,-9999.0,,,,40.0,,,,98,-9999.0,-9999.0,-9999.0
194,2015,1,9,7,,-341,-9999,-9999.0,,,,40.0,,,,98,-9999.0,-9999.0,-9999.0
195,2015,1,9,8,,-341,-9999,-9999.0,,,,40.0,,,,98,-9999.0,-9999.0,-9999.0
196,2015,1,9,9,,-341,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
197,2015,1,9,10,,-341,-9999,-9999.0,,,,40.0,,,,82,-9999.0,-9999.0,-9999.0
198,2015,1,9,11,,-341,-9999,-9999.0,,,,40.0,,,,77,-9999.0,-9999.0,-9999.0
199,2015,1,9,12,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
200,2015,1,9,13,,-341,-9999,-9999.0,,,,40.0,,,,77,-9999.0,-9999.0,-9999.0
201,2015,1,9,14,,-341,-9999,-9999.0,,,,30.0,,,,57,-9999.0,-9999.0,-9999.0
202,2015,1,9,15,,-341,-9999,-9999.0,,,,40.0,,,,41,-9999.0,-9999.0,-9999.0
203,2015,1,9,16,,-341,-9999,-9999.0,,,,40.0,,,,41,-9999.0,-9999.0,-9999.0
204,2015,1,9,17,,-341,-9999,-9999.0,,,,40.0,,,,41,-9999.0,-9999.0,-9999.0
205,2015,1,9,18,,-341,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
206,2015,1,9,19,,-341,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
207,2015,1,9,20,,-341,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
208,2015,1,9,21,,-340,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
209,2015,1,9,22,,-340,-9999,-9999.0,,,,40.0,,,,57,-9999.0,-9999.0,-9999.0
210,2015,1,9,23,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
211,2015,1,10,0,,-340,-9999,-9999.0,,,,40.0,,,,51,-9999.0,-9999.0,-9999.0
212,2015,1,10,1,,-340,-9999,-9999.0,,,,40.0,,,,72,-9999.0,-9999.0,-9999.0
213,2015,1,10,2,,-340,-9999,-9999.0,,,,40.0,,,,67,-9999.0,-9999.0,-9999.0
214,2015,1,10,3,,-340,-9999,-9999.0,-9999.0,,,,67.0,-9999.0,-9999.0,-9999,,,
215,2015,1,10,4,,-340,-9999,-9999.0,-9999.0,,,,67.0,-9999.0,-9999.0,-9999,,,
216,2015,1,10,5,,-340,-9999,-9999.0,,,,50.0,,,,67,-9999.0,-9999.0,-9999.0
217,2015,1,10,6,,-340,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
218,2015,1,10,7,,-340,-9999,-9999.0,,,,50.0,,,,57,-9999.0,-9999.0,-9999.0
219,2015,1,10,8,,-340,-9999,-9999.0,,,,50.0,,,,72,-9999.0,-9999.0,-9999.0
220,2015,1,10,9,-9999.0,-9999,-9999,,,,50.0,,,,67.0,-9999,-9999.0,-9999.0,
221,2015,1,10,10,,-339,-9999,-9999.0,,,,50.0,,,,67,-9999.0,-9999.0,-9999.0
222,2015,1,10,11,,-339,-9999,-9999.0,,,,50.0,,,,67,-9999.0,-9999.0,-9999.0
223,2015,1,10,12,,-339,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
224,2015,1,10,13,,-339,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
225,2015,1,10,14,,-339,-9999,-9999.0,,,,50.0,,,,36,-9999.0,-9999.0,-9999.0
226,2015,1,10,15,,-339,-9999,-9999.0,,,,50.0,,,,15,-9999.0,-9999.0,-9999.0
227,2015,1,10,16,,-339,-9999,-9999.0,,,,50.0,,,,10,-9999.0,-9999.0,-9999.0
228,2015,1,10,17,,-339,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
229,2015,1,10,18,,-339,-9999,-9999.0,,,,70.0,,,,15,-9999.0,-9999.0,-9999.0
230,2015,1,10,19,,-339,-9999,-9999.0,,,,60.0,,,,36,-9999.0,-9999.0,-9999.0
231,2015,1,10,20,,-339,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
232,2015,1,10,21,,-339,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
233,2015,1,10,22,,-339,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
234,2015,1,10,23,,-339,-9999,-9999.0,,,,50.0,,,,46,-9999.0,-9999.0,-9999.0
235,2015,1,11,0,,-339,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
236,2015,1,11,1,,-339,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
237,2015,1,11,2,,-339,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
238,2015,1,11,3,,-339,-9999,-9999.0,,,,50.0,,,,51,-9999.0,-9999.0,-9999.0
239,2015,1,11,4,,-339,-9999,-9999.0,,,,50.0,,,,31,-9999.0,-9999.0,-9999.0
240,2015,1,11,5,,-338,-9999,-9999.0,,,,50.0,,,,26,-9999.0,-9999.0,-9999.0
241,2015,1,11,6,,-338,-9999,-9999.0,,,,70.0,,,,31,-9999.0,-9999.0,-9999.0
242,2015,1,11,7,,-338,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
243,2015,1,11,8,-9999.0,-9999,-9999,,,,,0.0,-9999.0,-9999.0,-9999.0,-9999,,,
244,2015,1,11,9,,-338,-9999,-9999.0,,,,,0.0,-9999.0,-9999.0,-9999,-9999.0,,
245,2015,1,11,10,,-338,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
246,2015,1,11,11,,-338,-9999,-9999.0,,,,50.0,,,,41,-9999.0,-9999.0,-9999.0
247,2015,1,11,12,,-338,-9999,-9999.0,,,,50.0,,,,21,-9999.0,-9999.0,-9999.0
248,2015,1,11,13,,-338,-9999,-9999.0,,,,60.0,,,,15,-9999.0,-9999.0,-9999.0
